Timestamp,Gender,Academic Degree,Stream,Current Year,Count,Did you attend any seminar organised by your institute in the span of 2018-2021?                                     
9-29-2021 18:57:48,Female,B.Sc/B.S..,Statistics,2,7,
9-29-2021 18:58:10,Male,B.A.,English,3,0,
9-29-2021 18:58:56,Female,B.Sc/B.S..,Statistics ,2,6,
9-29-2021 18:58:58,Female,B.A.,English,3,0,
9-29-2021 18:59:03,Male,B.Sc/B.S..,Statistics ,2,6,
9-29-2021 18:59:57,Female,B.Tech,Chemical Engineering,3,0,
9-29-2021 19:00:11,Male,B.Sc/B.S..,Statistics ,2,1,
9-29-2021 19:00:40,Male,B.Sc/B.S..,Statistics ,2,3,
9-29-2021 19:01:12,Male,B.Sc/B.S..,Statistics,2,8,
9-29-2021 19:01:18,Female,B.Sc/B.S..,Statistics ,2,8,
9-29-2021 19:01:22,Male,B.A.,English,3,0,
9-29-2021 19:02:23,Male,B.Tech,Chemical Engineering,3,0,
9-29-2021 19:05:08,Male,B.Tech,Statistics,2,4,
9-29-2021 19:06:49,Male,B.Sc/B.S..,Statistics,3,1,
9-29-2021 19:07:22,Male,B.Sc/B.S..,Statistics,2,10,
9-29-2021 19:07:35,Male,B.Sc/B.S..,Statistics ,2,3,
9-29-2021 19:08:17,Female,B.Tech,Chemical Engineering,2,0,
9-29-2021 19:09:13,Female,B.A.,English,3,0,
9-29-2021 19:11:53,Male,B.Sc/B.S..,Statistics,3,2,
9-29-2021 19:11:57,Male,B.Sc/B.S..,Statistics,2,0,
9-29-2021 19:12:38,Female,B.Sc/B.S..,Statistics,2,2,
9-29-2021 19:18:41,Male,B.Sc/B.S..,Statistics,2,4,
9-29-2021 19:21:49,Female,B.Sc/B.S..,Statistics,2,7,
9-29-2021 19:22:26,Male,B.Sc/B.S..,Statistics,2,6,
9-29-2021 19:25:31,Male,B.Sc/B.S..,Statistics,2,10,
9-29-2021 19:29:04,Female,B.Sc/B.S..,Statistics,2,4,
9-29-2021 19:43:19,Female,B.Sc/B.S..,Chemistry ,3,2,
9-29-2021 19:51:39,Female,M.B.A.,Entrepreneurship,2,15,
9-29-2021 21:02:50,Male,B.Sc/B.S..,Statistics,3,5,
9-29-2021 21:52:18,Female,B.Sc/B.S..,Chemistry,3,2,
9-30-2021 3:08:08,Female,B.Sc/B.S..,Statistics,2,7,
9-30-2021 9:00:47,Male,B.A.,English,3,0,
9-30-2021 9:01:24,Male,B.A.,English,3,1,
